lat,lon,ym,BC_AOD,SU_AOD,DU_AOD,DU_AOD_pm25,T2m,T850,T500,T250,QV2M,Q850,Q500,Q250,elevation
29.0,79.375,1986-04-01,0.0094630215,0.043906104,0.14931524,0.08645976,29.144980000000032,294.80707,261.6329,226.09726,0.0054522553,0.004318328,0.00095154357,7.9535486e-05,215.8316
29.0,79.375,1986-05-01,0.010396783,0.05098913,0.16607867,0.09431108,32.80255,297.4648,262.99048,231.12233,0.0054471036,0.0048756516,0.00079026376,4.3420252e-05,215.8316
29.0,79.375,1986-06-01,0.011142649,0.083505474,0.20646665,0.11381374,34.52252000000004,298.69904,269.3354,237.39937,0.01089786,0.009739584,0.001597951,0.00011038307,215.8316
29.0,79.375,1986-07-01,0.011004545,0.068928964,0.12916803,0.0730998,29.97408000000001,294.72714,271.82867,238.73413,0.017501941,0.014333212,0.0048168274,0.000439152,215.8316
29.0,79.375,1986-08-01,0.011514643,0.07439771,0.116201825,0.06571519,28.82580000000001,294.5996,271.41928,237.74365,0.01796148,0.014014324,0.003533469,0.00036127312,215.8316
29.0,79.375,1986-09-01,0.0105292145,0.05101457,0.10567048,0.05955628,28.310270000000003,294.1192,269.025,234.85762,0.012437004,0.009352374,0.0011074798,8.9962676e-05,215.8316
29.0,79.375,1986-10-01,0.0115329735,0.05485199,0.061313625,0.03577041,24.7072,291.19315,263.22635,231.25914,0.00826848,0.0062080333,0.00054699817,4.4142453e-05,215.8316
29.0,79.375,1986-11-01,0.009957163,0.028936833,0.04239803,0.025334327,20.51327000000004,288.67422,261.265,227.32092,0.0042752586,0.0029434918,0.00056367763,5.4647277e-05,215.8316
29.0,79.375,1986-12-01,0.011095082,0.05089658,0.021136254,0.012986206,15.509420000000034,283.35193,257.1595,222.97025,0.004115215,0.003397107,0.0005000734,5.2179206e-05,215.8316
29.0,79.375,1987-01-01,0.011310773,0.04460055,0.018497938,0.011331659,15.501120000000014,283.51813,257.3841,225.70116,0.0041359616,0.0030901362,0.00039794805,3.8719365e-05,215.8316
29.0,79.375,1987-02-01,0.012543764,0.05377782,0.06200586,0.03730508,19.02450000000005,285.59763,256.63962,222.74026,0.004571687,0.0035606662,0.00060715916,4.747811e-05,215.8316
29.0,79.375,1987-03-01,0.009888227,0.039622396,0.14380339,0.082568,24.19885000000005,289.80096,259.308,223.96579,0.0049063587,0.0043566325,0.0007619445,5.1496998e-05,215.8316
29.0,79.375,1987-04-01,0.01007478,0.034392633,0.13616234,0.0784164,29.600340000000017,294.84885,261.8004,226.46307,0.0042338828,0.003962224,0.00082062744,5.9006117e-05,215.8316
29.0,79.375,1987-05-01,0.010514868,0.0637058,0.214803,0.121881,31.181880000000035,295.41574,263.45023,227.78575,0.0074584666,0.006582886,0.0009929604,9.933144e-05,215.8316
29.0,79.375,1987-06-01,0.009314095,0.043176744,0.21291599,0.11930732,36.21346,300.505,268.92682,237.63164,0.007823776,0.0071984897,0.0011999878,9.569213e-05,215.8316
29.0,79.375,1987-07-01,0.012965161,0.07611466,0.33249065,0.18184608,35.19076000000001,299.25226,271.311,239.53098,0.013582786,0.011469928,0.0022098015,0.00022885532,215.8316
29.0,79.375,1987-08-01,0.013484302,0.092328876,0.14384611,0.07969427,32.75027,296.8578,271.39883,238.39397,0.015659776,0.01317526,0.0036055592,0.00030806643,215.8316
